Title;Location;Salary;Description
Senior Embedded Software Engineer;;£55k to £75k plus benefits and hybrid working;Super new job in Bristol for a Senior Embedded Software Developer with bluetooth /wireless expertise to join a growing team with leading semiconductor company. As an Embedded Software Developer, your responsibilities include further developing our clients world-leading Bluetooth protocol stacks. I am looking for proven Senior Embedded Software Engineers with strong academics and 3yrs -10 years C/C++ microcontroller programming experience. You should have strong embedded development and debug skills, knowledge of python and ideally some bluetooth low energy or wireless expertise. You should also be a team player who is curious to learn and looking to progress. Our client will offer you a challenging and inspiring workplace, they will offer progression and scope for further development and the opportunity to work alongside a highly skilled international workforce.
Software Engineers - up to £110k - fully remote;;£50000 - £110000 per annum;FinTech opportunity - TECH FOR GOOD - Java/Kotlin engineers - Two new Software Engineer roles for a UK based FinTech - Tech stack is Java, Kotlin, Python, PostgreSQL, AWS, Terraform, Ansible, React. You don't need experience with all of the stack (happy to teach Java/Scala engineers that want to learn Kotlin). - The team works fully remote with just occasional office visits for meetings etc if you prefer to go in they have offices in central London - Paying up to £90k base for mid-level and up to £110k base for a senior - Strong package including a sizeable bonus and 10% pension Please apply if you're interested.
Ensoft Software Engineer Internship;;Competitive;Software Engineering Internships (Intern) UK Location - Harpenden, Herts Start Date - Summer 2023 8-10 Weeks Placement Our aim is to provide you with a full experience of what it is like to work as part of the Ensoft engineering team. All of our software development teams are responsible for delivering pioneering software technology that helps to run the Internet, delivered to an outstanding quality. We want to help you build experience of this that will be valuable to your future, as well as helping you to decide if this is the career for you. To achieve this, you will be working closely alongside one of our teams on a project with a real result, and with a completion point that can be reached within the 8-10 week period that you are with us.
Global Software Engineer;;Competitive Salary + Benefits;As part of an exciting machine learning marketing project for PHD's largest client, we are looking for a Software Engineer to join our team. You will partner with data scientists to actively take part in shaping our future engineering practices and technology choices. The candidate we are looking for has multiple years' experience in architecting and delivering applications and is able to work in a fast-paced environment We want everyone to make the most of the opportunity to shine and showcase your talents and we are happy to make adjustments in the recruitment process so you can be your best. Please discuss any specific requirements with your dedicated Talent Acquisition team member or if you would feel more comfortable, you can email us confidentially at to let us know how we can support you.
Full Stack Software Engineer - Node.js, React.js;;£45000 - £80000 per annum;Full-Stack Node Developer Node, React, AWS, Rest APis, PostgreSQL, remote This is a permanent opportunity for a Full-Stack Node Developer to join a cloud-based, software development company based in London. Our clients products allow transformation into an ultra-secure cloud-based environment which is used within government and other large-scale enterprises sectors. As a Full-Stack Node Developer, you will help lead the development of a variety of products' web-based applications using a combination of technologies, including Node.js, React, JavaScript and Vue. For this opportunity we are looking for a minimum of 3 years commercial experience as a developer with experience in working on web-based development. * Experience developing applications Node/React/HTML/CSS/JavaScript * Experience in services in secure cloud environments such as AWS
Mid Level Golang Software Engineer;;£50000 - £75000 per annum;Mid-Level Golang Engineer, London, £50,000-£75,000 I am currently working with an exciting company looking to expand their engineering team with a Mid-Level Golang Engineer. Their digital service is designed to integrate with any and all off-road machinery across the world. Powered by a smart sensor, it creates a unique machine signature to then track and extrapolate a range of data. It can track active hours, idle hours, fuel utilisation, most efficient routes, and many other things. Their product is already seeing a real impact with their customers, leading to a 50% increase in productivity, 10% less idling, and a 20% increase in utilisation, which leads to a real-world impact on the decrease of Co2 emissions.
Senior Embedded Software Engineer;;From £70,000 to £80,000 per annum Equity, PMI, pension, life assurance;Permanent Salary circa £70,000 to £80,000 per annum plus company equity, 5% pension, 25 days holiday, life insurance, income protection, flexible working etc.. Senior Software Engineer with advanced skills in C / C++ and experience and Embedded Linux / device driver development required by market leading engineering company specializing in multimedia technology development. The Senior Software Engineer will join an established team of high performing engineers developing real-time image and video processing hardware technologies. - Expertise in C / C++ software engineering - Experience within Embedded Linux / device driver development - Full lifecycle software development experience - Excellent communication skills - Educated to degree level (or above) in a scientific, mathematical or engineering subject
Senior Embedded Software Engineer;;£55K-£65K depending on experience;I am seeking an Senior Embedded Software Engineer to join my client in West London, they have been established for over 25 years, are offering hybrid working and paying 55K-65K. As a Senior Embedded Software Engineer, your role is to develop & self-manage a variety of embedded projects including medical imaging, automotive, acoustic signal processing and many more. Key Skills * Strong knowledge in Embedded C Development with RTOS. * Experience in DSP or Signal Processing is desirable. * Experience in developing low-level device drivers. Want to find out more? Please contact Danny Beecroft@ IC Resources. For more information on this role, or any other jobs across; Embedded, Firmware, Test Automation, Software Test, C programming, C++ programming, Linux Kernel, Driver Development, Low level software development then please get in touch.
Embedded Software Engineer;;£45K- £55K Depending on experience;I am seeking an Embedded Software Engineer to join my client in West London, they have been established for over 25 years, are offering hybrid working and paying 55K-65K. As a Embedded Software Engineer, your role is to develop & contribute towards a variety of embedded projects including medical imaging, automotive, acoustic signal processing and many more. Key Skills * Strong knowledge in Embedded C Development with RTOS. * Experience in DSP or Signal Processing is desirable. * Experience in developing low-level device drivers. Want to find out more? Please contact Danny Beecroft@ IC Resources. For more information on this role, or any other jobs across; Embedded, Firmware, Test Automation, Software Test, C programming, C++ programming, Linux Kernel, Driver Development, Low level software development then please get in touch.
Principal Software Engineer (C#, .NET, WPF)- Surrey/Remote;;£60000 - £800000 per annum + +benefits;Principal Software Engineer (C#, .NET, WPF, SQL, CI/CD, architecture)- Surrey/Remote- up to £80k + Bonus & Benefits Our client an industry leader in their space and household name are looking for a Principal Software Engineer (C#, .NET, WPF, SQL, CI/CD, architecture) to work in their Data Platforms team and will be the SME from a Development and Architecture perspective. The applications this team build allow high performing teams to use data to make strategic decisions and ultimately, winning insights. The tech stack required is; * 8 years+ software development experience including some software architecture experience * C# * .NET * WPF * SQL * CI/CD * Agile * Kafka * Cloud infrastructure with either AWS, Azure, GCP * Microservices * Experience building data pipelines and streaming apps
Embedded Software Engineer;;Up to £55 per hour + Hybrid working;Outside IR35 - Hybrid working IC Resources is currently working with an established name in the fit-tech industry that are in need of an experienced Software contractor to join them for a short-medium term project. As the right engineer you will have experience with BLE stack development and preferably will have worked on the Nordic RF52 chipset, working with smart wearable devices or similar. The client have determined this role to be Outside of IR35 and are able to offer a hybrid working model. * BLE development * Smart wearables experience preferred * NRF52 (or similar) Chipset experience preferred If you'd like to learn more about this role, or the current contracting market, then do get in touch!
Java Developer, Software Engineer - Microservices;;£585 per day Inside IR35 - Hybrid working;Contract Until end 2023 Rate: £585 per Day Inside IR35 Location: Hybrid Working and Essex Offices This is an excellent opportunity for a Senior Developer, Senior Software Engineer with Agile/Object Oriented field (Test Driven Development, SOLID, Continuous Integration, etc.). We are looking for a Java developer, Java Software Engineer with a minimum of 5 years commercial experience in software development. The successful candidate(s) should be capable of working collaboratively as part of an Agile team and be able to provide technical guidance and leadership to other developers in addition to recommending best approaches and patterns to implement project requirements based on their prior extensive experience; ideally in complex configurators or B2C Consumer Facing websites Main Tasks and Responsibilities
Graduate Software Engineer;;Up to £32000 per annum;We are an independent software/technology consultancy who have clients in the public and private sector. We pride ourselves on our ability to deliver exciting new digital services for our clients. We focus on understanding our client's business and work with them to deliver change that makes their business more effective. We are able to support our clients with their strategy, technical design, user experience, software development and delivery into live service. We are looking for candidates who are interested in a career in technology to join us as graduate engineers. After our software development and consultancy training, consultants will join our projects to help us deliver the latest generation of digital online services for our public and private sector clients.
Embedded Software Engineer/Software Development;;£40000 - £65000 per annum;Responsibilities Writing of embedded code in C, C++, C# or Python Testing and commissioning of prototypes Conducting software risk analysis Verification test and report Client liaison to ensure the smooth running of projects Requirements An excellent degree in electrical, electronic or information engineering 3+ years of experience in Embed software design with considerable practical design and development experience Experience in software development life cycle documentation 3+ years of experience in Embedded software design with considerable practical design and development experience
Angular Software Engineer;;£50000 - £65000 per annum;Salary: £50,000-£65,000 Location: 1 day a month (Derby) This is a unique opportunity to join an exciting business with excellent growth potential that is using software applications to combat climate change. You will be joining their remote Agile development team, ideally within reach of Derby for face-to-face planning sessions (Once a month meetings). You should be able to iterate rapidly based on user feedback, enjoy experimenting with new ideas and ability to share your opinion on technical direction. * A solid web-application developer with the ability to deliver clean, extendible, and robust production ready code * Minimum of 3 years software Engineering experience in a commercial environment using Angular * Experience of Agile SCRUM/Kanban * Interest in extending knowledge in GraphQL, Node.js, Jenkins
